indicator_type,indicator_content,domain_name
ip,92.255.106.3,
subnet,92.255.106,
whois,"{
  ""domain_name"": ""infobrics.org"",
  ""registrar"": ""Regional Network Information Center, JSC dba RU-CENTER"",
  ""whois_server"": ""https://www.nic.ru/whois"",
  ""referral_url"": null,
  ""updated_date"": ""2022-08-04 09:15:08"",
  ""creation_date"": ""2014-08-08 08:43:01"",
  ""expiration_date"": ""2023-08-08 08:43:01"",
  ""name_servers"": [
    ""ns3.timeweb.org"",
    ""ns4.timeweb.org"",
    ""ns1.timeweb.ru"",
    ""ns2.timeweb.ru""
  ],
  ""status"": ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"",
  ""emails"": ""tld-abuse@nic.ru"",
  ""dnssec"": ""unsigned"",
  ""name"": ""REDACTED FOR PRIVACY"",
  ""org"": ""Inforos Co., Ltd"",
  ""address"": ""REDACTED FOR PRIVACY"",
  ""city"": ""REDACTED FOR PRIVACY"",
  ""state"": ""Moscow"",
  ""registrant_postal_code"": ""REDACTED FOR PRIVACY"",
  ""country"": ""RU""
}",infobrics.org
meta_social,twitter:site|http://infobrics.org,infobrics.org
certificate,"-----BEGIN CERTIFICATE-----
MIIFMjCCBBqgAwIBAgISA6CyAJRXj0m6Q1qNSsiw/CCKMA0GCSqGSIb3DQEBCwUA
MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD
EwJSMzAeFw0yMjExMjEwNjMwMDBaFw0yMzAyMTkwNjI5NTlaMBgxFjAUBgNVBAMT
DWluZm9icmljcy5vcmcwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDY
YynreXJJgK4vW4Zlz8xYkRlRUoSIynztJbMRygEVBo3GWOnezuEdqVilamoJUWtM
M0MRYKQxHEulTdf2NSxCkQEnsQrpPrpY0tHonGE+JL1KDDbyjV6oUhCgDHSXWJxo
2ykalRJCBrSa15oKwVP0d0ZVAA5DT3FncXEH/Onifn9Aw3faNdhDvJCgy5DG++SN
KV3OBqDiuwWtXiUsXBUy1B8eEOzMyYVrI+X8mPCGPr5LCUXqUlnqBxtTBWiZR+VP
sFqZtf+8uDYQZb7deQefd1sv5MlE+v/ZjR4HA4Wun+8ptCrncEqqApO4W0l5GZB/
C90HMjfAPNEZGQm594inAgMBAAGjggJaMIICVjAOBgNVHQ8BAf8EBAMCBaAwHQYD
VR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0O
BBYEFKPgMnvHUqYW30zXlw9NXK8tlvugMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJ
QOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3Iz
Lm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcv
MCsGA1UdEQQkMCKCDWluZm9icmljcy5vcmeCEXd3dy5pbmZvYnJpY3Mub3JnMEwG
A1UdIARFMEMwCAYGZ4EMAQIBMDcGCysGAQQBgt8TAQEBMCgwJgYIKwYBBQUHAgEW
Gmh0dHA6Ly9jcHMubGV0c2VuY3J5cHQub3JnMIIBAwYKKwYBBAHWeQIEAgSB9ASB
8QDvAHUArfe++nz/EMiLnT2cHj4YarRnKV3PsQwkyoWGNOvcgooAAAGEmRgKWAAA
BAMARjBEAiBixRZ9lLGNw+9qOB1LGlRdFq2UFYueHRiRp5fUwJ9SLQIgbUvry+jD
PaxHzpeNZkKi0OGElDS42TxXT2CgiiJ6w2gAdgB6MoxU2LcttiDqOOBSHumEFnAy
E4VNO9IrwTpXo1LrUgAAAYSZGAwkAAAEAwBHMEUCIHg5hArvEAPlZ4fTm0gnRymV
wRsLPb49wm1iLsN9QHjiAiEAp8yCxJNDDK840GnrWBRfV0DFvI/K4wNhE0AFWocq
v4gwDQYJKoZIhvcNAQELBQADggEBAJz5LddsLxVWAwo/9uQ31ecKqfMEQjRN8HXM
hXBxce+c8ZdW1EXwEXVmUY6kZw7focCmt4P/gBHk4OR9QGcK+KHTKFArvuMUHcJt
vh+95t+Z+wqWdiRBH8SqJECmy+5pixBsmyUzpS5Ae6ekFJ5qwlltPGDBczlV4I9d
NgZL9qxT8178oKhr3g1QInoeE9FCZHa//DWKMtOQ7W7sKO/ykZxTIGDZM5fAA6gF
AorvKOL5eshmCDmofcnsRlitTfDfE89S/QDXbp1YcAG0j/A9fCJNnjPGk2r7TQNR
1vQSHe/UJlZXENQTR/DYM+E0WB9NSfEWmqEXY4slvX6bZl+3zS4=
-----END CERTIFICATE-----
",infobrics.org
cert-domain,infobrics.org,infobrics.org
cert-domain, www.infobrics.org,infobrics.org
cdn-domain,mc.yandex.ru,infobrics.org
cdn-domain,,infobrics.org
domain_suffix,infobrics.org,infobrics.org
domain,infobrics,infobrics.org
